Habitat,County,Site,Date,Day,Techs,Station,Bait,Tag,Genus,Species,Abbrev,Sex,Repro,Mass,TL,RHFL,EL,Ecto,DNA
Farm,GrandIsle,Borderview1,14/07/2019,3,"EB, BL",24,Seed,CH,Blarina,brevicauda,BLBR,F,sm,19,23,15,0,,
Farm,GrandIsle,Borderview1,13/07/2019,2,"EB, BL",25,Seed,LH,Blarina,brevicauda,BLBR,F,sm,19,22,14,0,,
Farm,GrandIsle,Borderview1,13/07/2019,2,"EB, BL",27,Seed,RH,Blarina,brevicauda,BLBR,F,sm,21,28,14,0,,
Field,Chittenden,StM1,6/7/2019,1,EB,19,Seed,LH,Blarina,brevicauda,BLBR,F,lg,22,25,13,0,,
Forest,Chittenden,Jericho1,27/05/2019,2,EB,15,Pb,68,Glaucomys,volans,GLVO,F,lg,64,118,,,,
Field,Chittenden,Audubon1,29/05/2019,2,EB,13,Seed,22,Microtus,pennsylvanicus,MIPE,F,sm,18,33,16,10,,
Field,Chittenden,Audubon1,30/05/2019,3,EB,16,Pb,18,Microtus,pennsylvanicus,MIPE,F,lg,43,50,17,10,,
Field,Chittenden,Audubon1,30/05/2019,3,EB,13,Seed,25,Microtus,pennsylvanicus,MIPE,F,sm,28,29,19,8,,
Farm,Addison,Elmer2,19/06/2019,2,"EB, BL",25,Seed,89,Microtus,pennsylvanicus,MIPE,M,ns,35,34,19,13,,
Farm,Addison,Elmer2,18/06/2019,1,"EB, BL",28,Seed,91,Microtus,pennsylvanicus,MIPE,F,sm,27,38,19,12,E023,
Farm,Franklin,RiverBerry1,30/07/2019,2,"EB, RO",23,Seed,40,Microtus,pennsylvanicus,MIPE,M,s,37,43,20,5,,
Farm,Franklin,RiverBerry1,30/07/2019,2,"EB, RO",24,Seed,14,Microtus,pennsylvanicus,MIPE,M,ns,24,46,19,6,,
Field,Chittenden,StM1,8/7/2019,3,EB,7,Seed,35,Microtus,pennsylvanicus,MIPE,M,ns,45,38,21,8,,
Forest,Orleans,Barr2,15/06/2019,2,EB,15,Seed,95,Myodes,gapperi,MYGA,M,s,23,34,15,9,,
Forest,Chittenden,Audubon2,29/05/2019,1,EB,7,Pb,29,Napeozapus,insignis,NAIN,F,sm,18,128,27,13,,
Forest,Chittenden,Audubon2,29/05/2019,1,EB,11,Pb,1,Napeozapus,insignis,NAIN,M,s,20,140,29,16,,
Forest,Chittenden,Audubon2,29/05/2019,1,EB,30,Seed,3,Napeozapus,insignis,NAIN,M,s,23,138,28,12,,
Forest,Chittenden,Audubon2,30/05/2019,2,EB,4,Seed,1,Napeozapus,insignis,NAIN,M,s,21,140,29,16,,
Forest,Chittenden,Audubon2,30/05/2019,2,EB,5,Seed,20,Napeozapus,insignis,NAIN,M,s,21,110,28,11,,
Forest,Chittenden,Audubon2,30/05/2019,2,EB,8,Pb,3,Napeozapus,insignis,NAIN,M,s,23,138,28,12,,
Forest,Chittenden,Audubon2,30/05/2019,2,EB,9,Seed,16,Napeozapus,insignis,NAIN,F,sm,20,141,29,12,,
Forest,Chittenden,Audubon2,31/05/2019,3,EB,11,Seed,3,Napeozapus,insignis,NAIN,M,s,23,138,28,12,,
Forest,Chittenden,Audubon2,31/05/2019,3,EB,7,Pb,1,Napeozapus,insignis,NAIN,M,s,21,140,29,16,,
Forest,Chittenden,Audubon2,31/05/2019,3,EB,6,Seed,16,Napeozapus,insignis,NAIN,F,sm,20,141,29,12,,
Forest,Chittenden,Audubon2,31/05/2019,3,EB,5,Seed,17,Napeozapus,insignis,NAIN,M,s,21,138,27,11,,
Forest,Orleans,Barr2,15/06/2019,2,EB,7,Seed,93,Napeozapus,insignis,NAIN,M,ns,23,135,30,15,,
Forest,Orleans,Barr2,15/06/2019,2,EB,2,Seed,79,Napeozapus,insignis,NAIN,M,s,25,148,30,12,,
Forest,Orleans,Barr2,16/06/2019,3,EB,21,Seed,92,Napeozapus,insignis,NAIN,F,sm,19,143,28,13,E022,
Forest,Chittenden,Jericho1,26/05/2019,1,EB,1,Seed,76,Napeozapus,insignis,NAIN,F,sm,24,128,30,14,E008,
Forest,Chittenden,Jericho1,26/05/2019,1,EB,5,Pb,,Napeozapus,insignis,NAIN,,,,,,,,
Forest,Chittenden,Jericho1,26/05/2019,1,EB,22,Seed,71,Napeozapus,insignis,NAIN,F,sm,18,139,28,13,E009,
Forest,Chittenden,Jericho1,27/05/2019,2,EB,3,Pb,69,Napeozapus,insignis,NAIN,M,s,17,130,27,13,,
Forest,Chittenden,Jericho1,28/05/2019,3,EB,3,Seed,26,Napeozapus,insignis,NAIN,M,s,21,135,30,13,E010,
Forest,Windsor,MBR1,8/6/2019,1,EB,22,Seed,13,Napeozapus,insignis,NAIN,F,lg,20,136,27,12,,
Forest,Windsor,MBR1,9/6/2019,2,"EB, AM",25,Seed,60,Napeozapus,insignis,NAIN,M,s,22,146,29,14,,
Forest,Chittenden,Audubon2,29/05/2019,1,EB,1,Seed,67,Peromyscus,leucopus,PELE,M,ns,16,68,18,17,E012,T012
Forest,Chittenden,Audubon2,29/05/2019,1,EB,2,Seed,28,Peromyscus,leucopus,PELE,M,ns,14,72,19,18,,T013
Forest,Chittenden,Audubon2,29/05/2019,1,EB,23,Pb,77,Peromyscus,leucopus,PELE,F,preg,22,87,18,15,,T104
Forest,Chittenden,Audubon2,29/05/2019,1,EB,25,Pb,78,Peromyscus,leucopus,PELE,M,s,31,89,20,18,E013,T015
Forest,Chittenden,Audubon2,29/05/2019,1,EB,29,Seed,2,Peromyscus,leucopus,PELE,M,s,21,81,17,16,E014,T016
Forest,Chittenden,Audubon2,30/05/2019,2,EB,1,Seed,67,Peromyscus,leucopus,PELE,M,ns,15,68,18,17,,
Forest,Chittenden,Audubon2,30/05/2019,2,EB,2,Seed,28,Peromyscus,leucopus,PELE,M,ns,14,72,19,18,,
